Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
16776;0;25004748;5907;332;1441
16627;0;25008188;5907;332;1441
16750;0;25008188;5907;332;1441
16703;0;25008188;5907;332;1441
16657;0;25008188;5907;332;1441
16471;0;25008188;5907;332;1441
16784;0;25008188;5907;332;1441
16519;0;25007244;5907;332;1441
16940;0;25007244;5907;332;1441
16322;0;25007244;5907;332;1441
16935;0;25007244;5907;332;1441
16503;0;25007244;5907;332;1441
16792;0;25007244;5907;332;1441
16784;0;25007244;5907;332;1441
16524;55294;25007244;5907;332;1441
71917;0;25007052;5907;332;1441
5347;0;25007052;5907;332;1441
2099;0;25007052;5907;332;1441
3798;0;25007052;5907;332;1441
16762;0;25007492;5907;332;1441
16538;0;25007492;5907;332;1441
16866;0;25007492;5907;332;1441
16456;0;25007364;5907;332;1441
16901;0;25005436;5907;332;1441
16686;0;25004996;5907;332;1441
16915;0;25005436;5907;332;1441
16322;0;25005436;5907;332;1441
16609;0;25005436;5907;332;1441
16750;0;25005436;5907;332;1441
16744;0;25005436;5907;332;1441
16488;0;25005316;5907;332;1441
16805;0;25004876;5907;332;1441
16613;0;25004876;5907;332;1441
16865;0;25004372;5907;332;1441
16539;0;25004372;5907;332;1441
16627;0;25004372;5907;332;1441
16653;0;25004372;5907;332;1441
16663;0;25004372;5907;332;1441
16749;0;25004372;5907;332;1441
16648;0;25004372;5907;332;1441
16531;0;25005316;5907;332;1441
16840;0;25005316;5907;332;1441
16513;0;25005316;5907;332;1441
16803;0;25005316;5907;332;1441
16545;0;25005316;5907;332;1441
16716;0;25005316;5907;332;1441
16584;0;25001876;5907;332;1441
16789;0;25001876;5907;332;1441
16676;0;25001876;5907;332;1441
16756;0;25002316;5907;332;1441
16513;0;25002316;5907;332;1441
16778;0;25001876;5907;332;1441
16402;0;25002316;5907;332;1441
16944;0;25004244;5907;332;1441
16477;0;25004244;5907;332;1441
16759;0;25004244;5907;332;1441
16552;0;25006228;5907;332;1441
16758;0;25006228;5907;332;1441
16578;0;25006228;5907;332;1441
16714;0;25006228;5907;332;1441
16821;0;25006228;5907;332;1441
16476;0;25006228;5907;332;1441
16846;0;25006228;5907;332;1441
16650;0;25006228;5907;332;1441
16504;0;25006228;5907;332;1441
16752;0;25006228;5907;332;1441
16600;0;25003268;5907;332;1441
16933;0;25003268;5907;332;1441
16366;0;25003268;5907;332;1441
16991;0;25003268;5907;332;1441
16375;0;25003268;5907;332;1441
16766;0;25003268;5907;332;1441
16559;0;25003268;5907;332;1441
16726;0;25003268;5907;332;1441
16837;55262;25003708;5907;332;1441
71808;0;25004252;5907;332;1441
5168;0;25003812;5907;332;1441
2139;0;25003812;5907;332;1441
4098;0;25003812;5907;332;1441
16825;0;25003812;5907;332;1441
16564;0;25003812;5907;332;1441
16522;0;25003812;5907;332;1441
16824;0;25003812;5907;332;1441
16550;0;25003812;5907;332;1441
16838;0;25003812;5907;332;1441
16503;0;25003812;5907;332;1441
16643;0;25003812;5907;332;1441
16641;0;25003812;5907;332;1441
16744;0;25003812;5907;332;1441
16550;0;25003812;5907;332;1441
16764;0;25003812;5907;332;1441
16784;0;25003812;5907;332;1441
16556;0;25003812;5907;332;1441
16561;0;25003812;5907;332;1441
16867;0;25003812;5907;332;1441
16555;0;25003812;5907;332;1441
16760;0;25003812;5907;332;1441
16878;0;25003812;5907;332;1441
16369;0;25003812;5907;332;1441
16607;0;25004252;5907;332;1441
16753;0;25004020;5907;332;1441
16404;0;25004020;5907;332;1441
17038;0;25005340;5907;332;1441
16446;0;25005028;5907;332;1441
16849;0;25004900;5907;332;1441
16588;0;25004900;5907;332;1441
16684;0;25004020;5907;332;1441
16588;0;25004020;5907;332;1441
16783;0;25002044;5907;332;1441
16600;0;25001604;5907;332;1441
16653;0;25001604;5907;332;1441
16501;0;25001604;5907;332;1441
16828;0;25001604;5907;332;1441
16577;0;25001604;5907;332;1441
16822;0;25001604;5907;332;1441
16524;0;25001604;5907;332;1441
16819;0;25001604;5907;332;1441
16488;0;25001604;5907;332;1441
16949;0;25001604;5907;332;1441
16421;0;25001604;5907;332;1441
16761;0;25001916;5907;332;1441
16758;0;25001916;5907;332;1441
16639;0;25001916;5907;332;1441
16448;0;25001604;5907;332;1441
16873;0;25001164;5907;332;1441
16483;0;25001164;5907;332;1441
16858;0;25001164;5907;332;1441
16439;0;25000724;5907;332;1441
16883;0;25001164;5907;332;1441
16299;0;25000724;5907;332;1441
16940;0;25000724;5907;332;1441
16610;0;25000724;5907;332;1441
16784;0;25000724;5907;332;1441
16531;0;25001164;5907;332;1441
